Series	Categories	Values	Category_Num
veh	Cyp46a1	0.0036513324505152898	1022
veh	Cyp46a1	0.018154588711136614	1022
oAB	Cyp46a1	0.06748860720114543	1022
oAB	Cyp46a1	0.5086546249073347	1022
oAB	Cyp46a1	-0.26586834257998493	1022
gsk	Cyp46a1	-0.3785144862498157	1022
gsk	Cyp46a1	0.6214855137501842	1022
gsk	Cyp46a1	-0.23065213126768064	1022
oAB-gsk	Cyp46a1	-0.1797086075179259	1022
oAB-gsk	Cyp46a1	-0.059728749676145394	1022
oAB-gsk	Cyp46a1	-0.1926650016451072	1022
veh	Cyp51a1	-0.09120415885734391	1023
veh	Cyp51a1	-0.30063616019281586	1023
veh	Cyp51a1	-0.4145140960707772	1023
oAB	Cyp51a1	-0.2942964077090149	1023
oAB	Cyp51a1	0.5854859039292227	1023
oAB	Cyp51a1	0.3942416291179284	1023
gsk	Cyp51a1	0.05899390775106342	1023
gsk	Cyp51a1	0.085232148391787	1023
gsk	Cyp51a1	0.305907828169662	1023
oAB-gsk	Cyp51a1	-0.23939503216125033	1023
oAB-gsk	Cyp51a1	-0.1421781772477724	1023
oAB-gsk	Cyp51a1	-0.08589259999753356	1023
veh	Cyria	0.214330413624353	1024
veh	Cyria	-0.031053786288958357	1024
veh	Cyria	-0.4391320127634624	1024
oAB	Cyria	-0.39139727787748846	1024
oAB	Cyria	0.02539851566580294	1024
oAB	Cyria	-0.31521118873200227	1024
gsk	Cyria	0.04761534422658294	1024
gsk	Cyria	0.5608679872365375	1024
gsk	Cyria	0.07055270848655042	1024
oAB-gsk	Cyria	0.1268542125568548	1024
oAB-gsk	Cyria	-0.046871040035951904	1024
oAB-gsk	Cyria	0.28182867765845176	1024
veh	Cyrib	-0.17761163139112351	1025
veh	Cyrib	-0.010051556221582072	1025
veh	Cyrib	-0.40360944024814677	1025
oAB	Cyrib	0.23931690656531207	1025
oAB	Cyrib	0.17077396328531017	1025
oAB	Cyrib	-0.3052915662030729	1025
gsk	Cyrib	-0.07186731249606755	1025
gsk	Cyrib	0.08493083863459172	1025
gsk	Cyrib	0.25796125671272907	1025
oAB-gsk	Cyrib	0.4089118842023182	1025
oAB-gsk	Cyrib	0.3781342435928749	1025
oAB-gsk	Cyrib	-0.5910881157976818	1025
veh	Czib	-0.5733787063100066	1026
veh	Czib	-0.1636218064294004	1026
veh	Czib	-0.2921753332089199	1026
oAB	Czib	0.006716312040231274	1026
oAB	Czib	0.29011458612425756	1026
oAB	Czib	0.37791381382472206	1026
gsk	Czib	-0.13611647556785056	1026
gsk	Czib	-0.35376058829218865	1026
